p_id,question,q_num,q_type,stim1,stim2,stim3,stim4,key,response,RT,correct,subjectGroup,familiarity,vocabulary,comprehension,GMRT,GMRT_transformed,knowledge_transformed
148,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,7798,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,4643,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,4949,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,4,4442,0.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,7632,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,6660,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,7940,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,4,6512,0.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,7655,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,4,14253,0.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,9398,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
148,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,20777,1.0,RPm,20,40,43,83,0.5956499763056917,-0.18826077105983052
113,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,24119,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,6514,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,8827,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,3,13527,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,8441,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,7989,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,19297,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,32859,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,16604,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,37697,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,9730,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
113,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,37655,1.0,RPp,10,42,32,74,-0.2741304371847363,-0.7798139781896306
9,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,13559,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,7778,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,8568,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,4,13768,0.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,7741,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,26139,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,8682,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,9111,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,8918,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,39261,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,5835,1.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
9,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,2,36938,0.0,RPm,20,44,35,79,0.18443339158072145,-0.18826077105983052
130,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,10749,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,4239,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,8831,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,3,13759,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,7279,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,11408,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,11803,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,12330,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,8696,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,16609,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
